ENSG00000243485	MIR1302-2HG
ENSG00000229012	AC003685.1
ENSG00000177138	FAM9B
ENSG00000228543	AC003684.1
ENSG00000101849	TBL1X
ENSG00000101850	GPR143
ENSG00000146950	SHROOM2
ENSG00000234469	CLDN34
ENSG00000047644	WWC3
ENSG00000225076	WWC3-AS1
ENSG00000073464	CLCN4
ENSG00000227042	AC003666.1
ENSG00000101871	MID1
ENSG00000234129	AC073529.1
ENSG00000004961	HCCS
ENSG00000047648	ARHGAP6
ENSG00000125363	AMELX
ENSG00000282840	AC004554.2
ENSG00000005302	MSL3
ENSG00000169933	FRMPD4
ENSG00000223487	FRMPD4-AS1
ENSG00000101911	PRPS2
ENSG00000196664	TLR7
ENSG00000233338	TLR8-AS1
ENSG00000101916	TLR8
ENSG00000205542	TMSB4X
ENSG00000187268	FAM9C
ENSG00000261030	AC079171.1
ENSG00000235385	LINC02154
ENSG00000231216	AC004674.1
ENSG00000123594	ATXN3L
ENSG00000226985	LINC01203
ENSG00000226434	AC135371.1
ENSG00000198759	EGFL6
ENSG00000176896	TCEANC
ENSG00000123595	RAB9A
ENSG00000196459	TRAPPC2
ENSG00000046651	OFD1
ENSG00000046653	GPM6B
ENSG00000233535	AC003035.2
ENSG00000212663	AC003035.1
ENSG00000046647	GEMIN8
ENSG00000101958	GLRA2
ENSG00000181544	FANCB
ENSG00000130150	MOSPD2
ENSG00000102048	ASB9
ENSG00000165192	ASB11
ENSG00000165195	PIGA
ENSG00000165197	VEGFD
ENSG00000087842	PIR
ENSG00000102010	BMX
ENSG00000130234	ACE2
ENSG00000225833	AC097625.1
ENSG00000147003	CLTRN
ENSG00000169239	CA5B
ENSG00000281371	INE2
ENSG00000169249	ZRSR2
ENSG00000182287	AP1S2
ENSG00000126010	GRPR
ENSG00000238178	AC078993.1
ENSG00000182798	MAGEB17
ENSG00000047230	CTPS2
ENSG00000169906	S100G
ENSG00000169895	SYAP1
ENSG00000086712	TXLNG
ENSG00000102054	RBBP7
ENSG00000169891	REPS2
ENSG00000188158	NHS
ENSG00000230020	NHS-AS1
ENSG00000047634	SCML1
ENSG00000131831	RAI2
ENSG00000225882	LINC01456
ENSG00000177324	BEND2
ENSG00000102098	SCML2
ENSG00000008086	CDKL5
ENSG00000102104	RS1
ENSG00000086717	PPEF1
ENSG00000237221	PPEF1-AS1
ENSG00000237836	PHKA2-AS1
ENSG00000044446	PHKA2
ENSG00000173698	ADGRG2
ENSG00000131828	PDHA1
ENSG00000180815	MAP3K15
ENSG00000147010	SH3KBP1
ENSG00000173681	BCLAF3
ENSG00000184368	MAP7D2
ENSG00000173674	EIF1AX
ENSG00000225037	EIF1AX-AS1
ENSG00000177189	RPS6KA3
ENSG00000283631	AL928596.1
ENSG00000283400	AL807740.1
ENSG00000283546	BX088723.1
ENSG00000149970	CNKSR2
ENSG00000185915	KLHL34
ENSG00000091482	SMPX
ENSG00000012174	MBTPS2
ENSG00000230797	YY2
ENSG00000102172	SMS
ENSG00000102174	PHEX
ENSG00000224204	PHEX-AS1
ENSG00000233067	PTCHD1-AS
ENSG00000175809	CBLL2
ENSG00000231846	AC092832.2
ENSG00000237019	AC004470.1
ENSG00000184735	DDX53
ENSG00000165186	PTCHD1
ENSG00000123131	PRDX4
ENSG00000123130	ACOT9
ENSG00000233785	AC131011.1
ENSG00000130066	SAT1
ENSG00000184831	APOO
ENSG00000165182	CXorf58
ENSG00000174010	KLHL15
ENSG00000130741	EIF2S3
ENSG00000234230	ZFX-AS1
ENSG00000005889	ZFX
ENSG00000067992	PDK3
ENSG00000102230	PCYT1B
ENSG00000236836	PCYT1B-AS1
ENSG00000101868	POLA1
ENSG00000004848	ARX
ENSG00000233403	AC121342.1
ENSG00000176774	MAGEB18
ENSG00000232030	MAGEB6B
ENSG00000176746	MAGEB6
ENSG00000188408	MAGEB5
ENSG00000259849	VENTXP1
ENSG00000242021	AC112493.1
ENSG00000228933	AC107419.1
ENSG00000224960	PPP4R3C
ENSG00000189186	DCAF8L2
ENSG00000177689	MAGEB10
ENSG00000226372	DCAF8L1
ENSG00000223742	AC112495.1
ENSG00000169306	IL1RAPL1
ENSG00000099399	MAGEB2
ENSG00000198798	MAGEB3
ENSG00000120289	MAGEB4
ENSG00000214107	MAGEB1
ENSG00000169297	NR0B1
ENSG00000120280	CXorf21
ENSG00000198814	GK
ENSG00000243055	GK-AS1
ENSG00000157625	TAB3
ENSG00000231542	TAB3-AS1
ENSG00000235512	TAB3-AS2
ENSG00000132446	FTHL17
ENSG00000198947	DMD
ENSG00000236828	DMD-AS3
ENSG00000233928	AL591501.1
ENSG00000185448	FAM47A
ENSG00000233571	AL592043.1
ENSG00000147027	TMEM47
ENSG00000189132	FAM47B
ENSG00000189023	MAGEB16
ENSG00000165164	CFAP47
ENSG00000226484	AL606516.1
ENSG00000198173	FAM47C
ENSG00000130962	PRRG1
ENSG00000250349	AF241726.2
ENSG00000147036	LANCL3
ENSG00000047597	XK
ENSG00000165168	CYBB
ENSG00000165169	DYNLT3
ENSG00000259977	AL121578.3
ENSG00000187516	HYPM
ENSG00000147041	SYTL5
ENSG00000101955	SRPX
ENSG00000226679	AL606748.1
ENSG00000156313	RPGR
ENSG00000036473	OTC
ENSG00000156298	TSPAN7
ENSG00000235806	AF241728.1
ENSG00000165175	MID1IP1
ENSG00000238123	MID1IP1-AS1
ENSG00000224610	AC108879.1
ENSG00000235304	LINC01281
ENSG00000236747	LINC01282
ENSG00000234191	AC091808.1
ENSG00000261435	AL592164.1
ENSG00000223486	AC092198.1
ENSG00000183337	BCOR
ENSG00000236393	AC091806.1
ENSG00000182220	ATP6AP2
ENSG00000238205	MPC1L
ENSG00000185753	CXorf38
ENSG00000180182	MED14
ENSG00000234636	MED14OS
ENSG00000124486	USP9X
ENSG00000223714	AL109797.1
ENSG00000215301	DDX3X
ENSG00000188937	NYX
ENSG00000147044	CASK
ENSG00000233033	CASK-AS1
ENSG00000171659	GPR34
ENSG00000171657	GPR82
ENSG00000233103	AL133329.1
ENSG00000231772	Z93403.1
ENSG00000102055	PPP1R2C
ENSG00000224294	PINCR
ENSG00000189221	MAOA
ENSG00000069535	MAOB
ENSG00000124479	NDP
ENSG00000236276	NDP-AS1
ENSG00000183690	EFHC2
ENSG00000069509	FUNDC1
ENSG00000189037	DUSP21
ENSG00000147050	KDM6A
ENSG00000147113	CXorf36
ENSG00000229491	AC136489.1
ENSG00000229563	LINC01204
ENSG00000270069	MIR222HG
ENSG00000269902	AC234772.3
ENSG00000231566	AC234772.2
ENSG00000234613	AL031584.2
ENSG00000236751	LINC01186
ENSG00000147121	KRBOX4
ENSG00000251192	ZNF674
ENSG00000230844	ZNF674-AS1
ENSG00000147119	CHST7
ENSG00000065923	SLC9A7
ENSG00000102218	RP2
ENSG00000204904	LINC01545
ENSG00000102221	JADE3
ENSG00000130988	RGN
ENSG00000147123	NDUFB11
ENSG00000182872	RBM10
ENSG00000130985	UBA1
ENSG00000102225	CDK16
ENSG00000102226	USP11
ENSG00000203402	AL591503.1
ENSG00000147117	ZNF157
ENSG00000147124	ZNF41
ENSG00000196741	LINC01560
ENSG00000078061	ARAF
ENSG00000008056	SYN1
ENSG00000102265	TIMP1
ENSG00000126759	CFP
ENSG00000126767	ELK1
ENSG00000126756	UXT
ENSG00000267064	UXT-AS1
ENSG00000197779	ZNF81
ENSG00000147118	ZNF182
ENSG00000221994	ZNF630
ENSG00000171489	SPACA5
ENSG00000277541	ZNF630-AS1
ENSG00000171478	SPACA5B
ENSG00000165583	SSX5
ENSG00000126752	SSX1
ENSG00000230100	AL606490.3
ENSG00000165584	SSX3
ENSG00000268009	SSX4
ENSG00000269791	SSX4B
ENSG00000017483	SLC38A5
ENSG00000068438	FTSJ1
ENSG00000224292	AF196972.1
ENSG00000102312	PORCN
ENSG00000147155	EBP
ENSG00000068354	TBC1D25
ENSG00000204620	AC115618.1
ENSG00000102317	RBM3
ENSG00000228343	AC115618.2
ENSG00000101940	WDR13
ENSG00000015285	WAS
ENSG00000101945	SUV39H1
ENSG00000232828	AC231533.1
ENSG00000171433	GLOD5
ENSG00000102145	GATA1
ENSG00000094631	HDAC6
ENSG00000187682	ERAS
ENSG00000102109	PCSK1N
ENSG00000126768	TIMM17B
ENSG00000102103	PQBP1
ENSG00000102100	SLC35A2
ENSG00000102096	PIM2
ENSG00000068308	OTUD5
ENSG00000102057	KCND1
ENSG00000068400	GRIPAP1
ENSG00000068323	TFE3
ENSG00000147144	CCDC120
ENSG00000243279	PRAF2
ENSG00000196998	WDR45
ENSG00000068394	GPKOW
ENSG00000269313	MAGIX
ENSG00000102007	PLP2
ENSG00000012211	PRICKLE3
ENSG00000102003	SYP
ENSG00000237341	SYP-AS1
ENSG00000102001	CACNA1F
ENSG00000101997	CCDC22
ENSG00000049768	FOXP3
ENSG00000049769	PPP1R3F
ENSG00000270012	AC232271.1
ENSG00000215274	GAGE10
ENSG00000224659	GAGE12J
ENSG00000274274	GAGE13
ENSG00000275113	GAGE2E
ENSG00000236737	GAGE12B
ENSG00000237671	GAGE12C
ENSG00000227488	GAGE12D
ENSG00000236362	GAGE12F
ENSG00000216649	GAGE12E
ENSG00000215269	GAGE12G
ENSG00000224902	GAGE12H
ENSG00000205777	GAGE1
ENSG00000189064	GAGE2A
ENSG00000068985	PAGE1
ENSG00000101951	PAGE4
ENSG00000234390	USP27X-AS1
ENSG00000273820	USP27X
ENSG00000171365	CLCN5
ENSG00000147081	AKAP4
ENSG00000147082	CCNB3
ENSG00000274588	DGKK
ENSG00000158352	SHROOM4
ENSG00000130385	BMP15
ENSG00000230317	LINC01284
ENSG00000122824	NUDT10
ENSG00000229151	AC233976.1
ENSG00000226530	AL158055.1
ENSG00000187690	CXorf67
ENSG00000196368	NUDT11
ENSG00000234766	LINC01496
ENSG00000224109	CENPVL3
ENSG00000283093	CENPVL2
ENSG00000223591	CENPVL1
ENSG00000189369	GSPT2
ENSG00000179222	MAGED1
ENSG00000182776	AC239585.1
ENSG00000279750	AC239585.2
ENSG00000187243	MAGED4B
ENSG00000154545	MAGED4
ENSG00000179028	AC245177.1
ENSG00000155622	XAGE2
ENSG00000204379	XAGE1A
ENSG00000204382	XAGE1B
ENSG00000187754	SSX7
ENSG00000241476	SSX2
ENSG00000268447	SSX2B
ENSG00000204363	SPANXN5
ENSG00000171405	XAGE5
ENSG00000171402	XAGE3
ENSG00000179304	FAM156B
ENSG00000268350	FAM156A
ENSG00000184194	GPR173
ENSG00000184205	TSPYL2
ENSG00000234019	AL591212.1
ENSG00000232593	KANTR
ENSG00000126012	KDM5C
ENSG00000124313	IQSEC2
ENSG00000072501	SMC1A
ENSG00000158423	RIBC1
ENSG00000072506	HSD17B10
ENSG00000233250	AC233728.1
ENSG00000086758	HUWE1
ENSG00000172943	PHF8
ENSG00000184083	FAM120C
ENSG00000196632	WNK3
ENSG00000158526	TSR2
ENSG00000102302	FGD1
ENSG00000130119	GNL3L
ENSG00000102313	ITIH6
ENSG00000102316	MAGED2
ENSG00000067445	TRO
ENSG00000158571	PFKFB1
ENSG00000169188	APEX2
ENSG00000158578	ALAS2
ENSG00000238269	PAGE2B
ENSG00000234068	PAGE2
ENSG00000182518	FAM104B
ENSG00000256045	MTRNR2L10
ENSG00000158639	PAGE5
ENSG00000204279	PAGE3
ENSG00000187601	MAGEH1
ENSG00000247746	USP51
ENSG00000189299	FOXR2
ENSG00000083750	RRAGB
ENSG00000227486	AL445472.1
ENSG00000102349	KLF8
ENSG00000188021	UBQLN2
ENSG00000230105	AL354793.1
ENSG00000204272	NBDY
ENSG00000204271	SPIN3
ENSG00000224799	AL139397.1
ENSG00000186787	SPIN2B
ENSG00000226310	AL022157.1
ENSG00000147059	SPIN2A
ENSG00000165591	FAAH2
ENSG00000198455	ZXDB
ENSG00000215174	NLRP2B
ENSG00000198205	ZXDA
ENSG00000186767	SPIN4
ENSG00000233661	SPIN4-AS1
ENSG00000131089	ARHGEF9
ENSG00000184675	AMER1
ENSG00000198881	ASB12
ENSG00000102043	MTMR8
ENSG00000126970	ZC4H2
ENSG00000102053	ZC3H12B
ENSG00000001497	LAS1L
ENSG00000147065	MSN
ENSG00000237311	AL034397.2
ENSG00000274536	AL034397.3
ENSG00000155659	VSIG4
ENSG00000089472	HEPH
ENSG00000131080	EDA2R
ENSG00000169083	AR
ENSG00000260118	AL157700.1
ENSG00000079482	OPHN1
ENSG00000181704	YIPF6
ENSG00000130052	STARD8
ENSG00000090776	EFNB1
ENSG00000181191	PJA1
ENSG00000215162	LINC00269
ENSG00000130054	FAM155B
ENSG00000228160	AL158069.1
ENSG00000158813	EDA
ENSG00000147160	AWAT2
ENSG00000189401	OTUD6A
ENSG00000089289	IGBP1
ENSG00000220925	IGBP1-AS2
ENSG00000203588	IGBP1-AS1
ENSG00000184210	DGAT2L6
ENSG00000204195	AWAT1
ENSG00000186912	P2RY4
ENSG00000120500	ARR3
ENSG00000147127	RAB41
ENSG00000120509	PDZD11
ENSG00000090889	KIF4A
ENSG00000130055	GDPD2
ENSG00000284391	AL139398.1
ENSG00000082458	DLG3
ENSG00000231651	DLG3-AS1
ENSG00000120498	TEX11
ENSG00000165349	SLC7A3
ENSG00000147164	SNX12
ENSG00000184481	FOXO4
ENSG00000204165	CXorf65
ENSG00000285171	AL590764.2
ENSG00000147168	IL2RG
ENSG00000184634	MED12
ENSG00000196338	NLGN3
ENSG00000228427	AL590764.1
ENSG00000169562	GJB1
ENSG00000147130	ZMYM3
ENSG00000147140	NONO
ENSG00000147166	ITGB1BP2
ENSG00000147133	TAF1
ENSG00000147162	OGT
ENSG00000147174	GCNA
ENSG00000186810	CXCR3
ENSG00000283599	BX276092.9
ENSG00000281852	LINC00891
ENSG00000215115	CXorf49
ENSG00000215113	CXorf49B
ENSG00000204131	NHSL2
ENSG00000242732	RTL5
ENSG00000102309	PIN4
ENSG00000186871	ERCC6L
ENSG00000198034	RPS4X
ENSG00000125931	CITED1
ENSG00000147099	HDAC8
ENSG00000067177	PHKA1
ENSG00000231944	PHKA1-AS1
ENSG00000184911	DMRTC1B
ENSG00000268994	FAM236B
ENSG00000225396	FAM236D
ENSG00000269502	DMRTC1
ENSG00000283594	FAM236C
ENSG00000275520	FAM236A
ENSG00000226725	PABPC1L2B-AS1
ENSG00000184388	PABPC1L2B
ENSG00000186288	PABPC1L2A
ENSG00000231963	AL662864.1
ENSG00000186462	NAP1L2
ENSG00000131264	CDX4
ENSG00000204116	CHIC1
ENSG00000270641	TSIX
ENSG00000229807	XIST
ENSG00000225470	JPX
ENSG00000230590	FTX
ENSG00000228906	AL353804.1
ENSG00000187969	ZCCHC13
ENSG00000147100	SLC16A2
ENSG00000131263	RLIM
ENSG00000050030	NEXMIF
ENSG00000131269	ABCB7
ENSG00000094841	UPRT
ENSG00000102383	ZDHHC15
ENSG00000186675	MAGEE2
ENSG00000226854	AL451105.2
ENSG00000102390	PBDC1
ENSG00000198934	MAGEE1
ENSG00000280870	AC233296.1
ENSG00000196468	FGF16
ENSG00000085224	ATRX
ENSG00000102158	MAGT1
ENSG00000131174	COX7B
ENSG00000165240	ATP7A
ENSG00000102144	PGK1
ENSG00000226784	PGAM4
ENSG00000187325	TAF9B
ENSG00000173198	CYSLTR1
ENSG00000179300	RTL3
ENSG00000147145	LPAR4
ENSG00000078589	P2RY10
ENSG00000147138	GPR174
ENSG00000078596	ITM2A
ENSG00000122145	TBX22
ENSG00000174016	TENT5D
ENSG00000165288	BRWD3
ENSG00000284618	AL391294.1
ENSG00000198157	HMGN5
ENSG00000131171	SH3BGRL
ENSG00000196767	POU3F4
ENSG00000183035	CYLC1
ENSG00000072133	RPS6KA6
ENSG00000165259	HDX
ENSG00000155008	APOOL
ENSG00000184788	SATL1
ENSG00000235461	AC003001.1
ENSG00000147180	ZNF711
ENSG00000124429	POF1B
ENSG00000188419	CHM
ENSG00000126733	DACH2
ENSG00000102271	KLHL4
ENSG00000282914	Z83818.2
ENSG00000147183	CPXCR1
ENSG00000225012	AL121872.1
ENSG00000153779	TGIF2LX
ENSG00000206062	AL121823.1
ENSG00000234161	PABPC5-AS1
ENSG00000174740	PABPC5
ENSG00000102290	PCDH11X
ENSG00000186310	NAP1L3
ENSG00000179083	FAM133A
ENSG00000147202	DIAPH2
ENSG00000204086	RPA4
ENSG00000236256	DIAPH2-AS1
ENSG00000281566	AL157778.1
ENSG00000165194	PCDH19
ENSG00000000005	TNMD
ENSG00000000003	TSPAN6
ENSG00000102359	SRPX2
ENSG00000102362	SYTL4
ENSG00000101811	CSTF2
ENSG00000007952	NOX1
ENSG00000182489	XKRX
ENSG00000174225	ARL13A
ENSG00000188917	TRMT2B
ENSG00000126950	TMEM35A
ENSG00000102384	CENPI
ENSG00000102385	DRP2
ENSG00000102387	TAF7L
ENSG00000126953	TIMM8A
ENSG00000010671	BTK
ENSG00000241343	RPL36A
ENSG00000257529	RPL36A-HNRNPH2
ENSG00000102393	GLA
ENSG00000126945	HNRNPH2
ENSG00000196440	ARMCX4
ENSG00000126947	ARMCX1
ENSG00000198960	ARMCX6
ENSG00000102401	ARMCX3
ENSG00000228275	ARMCX3-AS1
ENSG00000184867	ARMCX2
ENSG00000126952	NXF5
ENSG00000166432	ZMAT1
ENSG00000184905	TCEAL2
ENSG00000204071	TCEAL6
ENSG00000184515	BEX5
ENSG00000268235	TCP11X1
ENSG00000269405	NXF2
ENSG00000284800	AC235565.2
ENSG00000269437	NXF2B
ENSG00000215029	TCP11X2
ENSG00000158164	TMSB15A
ENSG00000125962	ARMCX5
ENSG00000270050	AL035427.1
ENSG00000198932	GPRASP1
ENSG00000158301	GPRASP2
ENSG00000198908	BHLHB9
ENSG00000223546	LINC00630
ENSG00000239407	Z68871.1
ENSG00000102128	RAB40AL
ENSG00000234050	Z95624.1
ENSG00000133169	BEX1
ENSG00000147206	NXF3
ENSG00000102409	BEX4
ENSG00000180964	TCEAL8
ENSG00000204065	TCEAL5
ENSG00000133134	BEX2
ENSG00000182916	TCEAL7
ENSG00000185222	TCEAL9
ENSG00000166681	BEX3
ENSG00000281091	AL606763.1
ENSG00000234405	Z69733.1
ENSG00000172476	RAB40A
ENSG00000133142	TCEAL4
ENSG00000196507	TCEAL3
ENSG00000224031	TCEAL3-AS1
ENSG00000172465	TCEAL1
ENSG00000123562	MORF4L2
ENSG00000231154	MORF4L2-AS1
ENSG00000188828	GLRA4
ENSG00000179363	TMEM31
ENSG00000123560	PLP1
ENSG00000123570	RAB9B
ENSG00000231728	TMSB15B-AS1
ENSG00000158427	TMSB15B
ENSG00000123569	H2BFWT
ENSG00000101812	H2BFM
ENSG00000269226	TMSB15B
ENSG00000269743	SLC25A53
ENSG00000166707	ZCCHC18
ENSG00000123575	FAM199X
ENSG00000123576	ESX1
ENSG00000189108	IL1RAPL2
ENSG00000268629	TEX13A
ENSG00000123572	NRK
ENSG00000123561	SERPINA7
ENSG00000157502	MUM1L1
ENSG00000147231	CXorf57
ENSG00000133135	RNF128
ENSG00000133138	TBC1D8B
ENSG00000133131	MORC4
ENSG00000147223	RIPPLY1
ENSG00000165376	CLDN2
ENSG00000089682	RBM41
ENSG00000198088	NUP62CL
ENSG00000080572	PIH1D3
ENSG00000227610	FRMPD3-AS1
ENSG00000147234	FRMPD3
ENSG00000147224	PRPS1
ENSG00000157514	TSC22D3
ENSG00000170935	NCBP2L
ENSG00000080561	MID2
ENSG00000236064	AL034399.2
ENSG00000170925	TEX13B
ENSG00000101842	VSIG1
ENSG00000101843	PSMD10
ENSG00000101844	ATG4A
ENSG00000197565	COL4A6
ENSG00000188153	COL4A5
ENSG00000260548	AL035425.2
ENSG00000133124	IRS4
ENSG00000237863	AL035425.1
ENSG00000101890	GUCY2F
ENSG00000101888	NXT2
ENSG00000176076	KCNE5
ENSG00000068366	ACSL4
ENSG00000157600	TMEM164
ENSG00000101935	AMMECR1
ENSG00000243978	RTL9
ENSG00000101938	CHRDL1
ENSG00000077264	PAK3
ENSG00000077274	CAPN6
ENSG00000077279	DCX
ENSG00000260802	SERTM2
ENSG00000101901	ALG13
ENSG00000229487	ALG13-AS1
ENSG00000072315	TRPC5
ENSG00000204025	TRPC5OS
ENSG00000187823	RTL4
ENSG00000182508	LHFPL1
ENSG00000126016	AMOT
ENSG00000241743	XACT
ENSG00000147246	HTR2C
ENSG00000123496	IL13RA2
ENSG00000130224	LRCH2
ENSG00000175718	RBMXL3
ENSG00000102021	LUZP4
ENSG00000271826	PLS3-AS1
ENSG00000102024	PLS3
ENSG00000229335	DANT1
ENSG00000235244	DANT2
ENSG00000180772	AGTR2
ENSG00000268104	SLC6A14
ENSG00000204019	CT83
ENSG00000230159	BX119904.2
ENSG00000003096	KLHL13
ENSG00000131725	WDR44
ENSG00000147251	DOCK11
ENSG00000131724	IL13RA1
ENSG00000174460	ZCCHC12
ENSG00000203650	LINC01285
ENSG00000175556	LONRF3
ENSG00000277535	AL772284.2
ENSG00000250423	KIAA1210
ENSG00000101856	PGRMC1
ENSG00000230392	AC004835.1
ENSG00000226661	AC004973.1
ENSG00000077713	SLC25A43
ENSG00000005022	SLC25A5
ENSG00000018610	CXorf56
ENSG00000077721	UBE2A
ENSG00000186416	NKRF
ENSG00000125354	SEPT6
ENSG00000187808	SOWAHD
ENSG00000198918	RPL39
ENSG00000125351	UPF3B
ENSG00000125352	RNF113A
ENSG00000125356	NDUFA1
ENSG00000186471	AKAP14
ENSG00000101882	NKAP
ENSG00000258545	RHOXF1-AS1
ENSG00000203989	RHOXF2B
ENSG00000101883	RHOXF1
ENSG00000228139	LINC01402
ENSG00000131721	RHOXF2
ENSG00000177485	ZBTB33
ENSG00000125355	TMEM255A
ENSG00000101892	ATP1B4
ENSG00000005893	LAMP2
ENSG00000158290	CUL4B
ENSG00000232119	MCTS1
ENSG00000171155	C1GALT1C1
ENSG00000236446	CT47B1
ENSG00000278646	AC008162.2
ENSG00000226685	CT47A12
ENSG00000226929	CT47A11
ENSG00000224089	CT47A10
ENSG00000226600	CT47A9
ENSG00000230347	CT47A8
ENSG00000228517	CT47A7
ENSG00000226023	CT47A6
ENSG00000237957	CT47A5
ENSG00000230594	CT47A4
ENSG00000236126	CT47A3
ENSG00000242362	CT47A2
ENSG00000236371	CT47A1
ENSG00000182890	GLUD2
ENSG00000260585	AL359851.1
ENSG00000125675	GRIA3
ENSG00000125676	THOC2
ENSG00000101966	XIAP
ENSG00000237331	XIAP-AS1
ENSG00000232412	AL121601.1
ENSG00000101972	STAG2
ENSG00000183918	SH2D1A
ENSG00000282419	TEX13D
ENSG00000009694	TENM1
ENSG00000282815	TEX13C
ENSG00000237208	AL445072.1
ENSG00000198354	DCAF12L2
ENSG00000198889	DCAF12L1
ENSG00000183631	PRR32
ENSG00000260683	AL591643.1
ENSG00000123165	ACTRT1
ENSG00000225689	AL442647.1
ENSG00000102038	SMARCA1
ENSG00000122126	OCRL
ENSG00000171388	APLN
ENSG00000122121	XPNPEP2
ENSG00000122122	SASH3
ENSG00000188706	ZDHHC9
ENSG00000235189	AL034405.1
ENSG00000156697	UTP14A
ENSG00000085185	BCORL1
ENSG00000102034	ELF4
ENSG00000156709	AIFM1
ENSG00000134594	RAB33A
ENSG00000056277	ZNF280C
ENSG00000102078	SLC25A14
ENSG00000147262	GPR119
ENSG00000134597	RBMX2
ENSG00000165675	ENOX2
ENSG00000228659	LINC01201
ENSG00000147256	ARHGAP36
ENSG00000147255	IGSF1
ENSG00000171054	OR13H1
ENSG00000213468	FIRRE
ENSG00000134602	STK26
ENSG00000165694	FRMD7
ENSG00000123728	RAP2C
ENSG00000232160	RAP2C-AS1
ENSG00000076770	MBNL3
ENSG00000171004	HS6ST2
ENSG00000235849	HS6ST2-AS1
ENSG00000134588	USP26
ENSG00000183434	TFDP3
ENSG00000076716	GPC4
ENSG00000147257	GPC3
ENSG00000203952	CCDC160
ENSG00000156531	PHF6
ENSG00000165704	HPRT1
ENSG00000223749	MIR503HG
ENSG00000227060	LINC00629
ENSG00000170965	PLAC1
ENSG00000235813	AL672032.1
ENSG00000156504	FAM122B
ENSG00000156500	FAM122C
ENSG00000101928	MOSPD1
ENSG00000236091	LINC02243
ENSG00000184785	SMIM10
ENSG00000212747	RTL8B
ENSG00000134590	RTL8C
ENSG00000203950	RTL8A
ENSG00000228372	SMIM10L2B-AS1
ENSG00000196972	SMIM10L2B
ENSG00000224107	ETDB
ENSG00000223809	AC234771.1
ENSG00000169551	CT55
ENSG00000186376	ZNF75D
ENSG00000238210	ETDA
ENSG00000283644	ETDC
ENSG00000284994	AL590282.2
ENSG00000173275	ZNF449
ENSG00000178947	SMIM10L2A
ENSG00000225235	INTS6L-AS1
ENSG00000165359	INTS6L
ENSG00000268940	CT45A1
ENSG00000269096	CT45A3
ENSG00000228836	CT45A5
ENSG00000278289	CT45A6
ENSG00000271449	CT45A2
ENSG00000273696	CT45A7
ENSG00000278085	CT45A8
ENSG00000270946	CT45A9
ENSG00000269586	CT45A10
ENSG00000181433	SAGE1
ENSG00000169446	MMGT1
ENSG00000198689	SLC9A6
ENSG00000022267	FHL1
ENSG00000129680	MAP7D3
ENSG00000156920	ADGRG4
ENSG00000102239	BRS3
ENSG00000102241	HTATSF1
ENSG00000102243	VGLL1
ENSG00000102245	CD40LG
ENSG00000129675	ARHGEF6
ENSG00000232611	AL683813.1
ENSG00000147274	RBMX
ENSG00000165370	GPR101
ENSG00000224765	AL035443.1
ENSG00000156925	ZIC3
ENSG00000283692	Z96074.1
ENSG00000129682	FGF13
ENSG00000232183	AL031386.1
ENSG00000226031	FGF13-AS1
ENSG00000101981	F9
ENSG00000101977	MCF2
ENSG00000101974	ATP11C
ENSG00000203933	CXorf66
ENSG00000233145	AL589987.2
ENSG00000231110	FO393408.1
ENSG00000134595	SOX3
ENSG00000230668	AL844175.1
ENSG00000203930	LINC00632
ENSG00000184258	CDR1
ENSG00000281508	AL078639.1
ENSG00000229269	AL451048.1
ENSG00000227234	SPANXB1
ENSG00000261212	AC234778.2
ENSG00000182195	LDOC1
ENSG00000198573	SPANXC
ENSG00000277215	SPANXA2-OT1
ENSG00000198021	SPANXA1
ENSG00000203926	SPANXA2
ENSG00000196406	SPANXD
ENSG00000165509	MAGEC3
ENSG00000155495	MAGEC1
ENSG00000046774	MAGEC2
ENSG00000189326	SPANXN4
ENSG00000227303	AC239727.1
ENSG00000189252	SPANXN3
ENSG00000179542	SLITRK4
ENSG00000268988	SPANXN2
ENSG00000225970	AL500522.1
ENSG00000234712	AL713923.1
ENSG00000203923	SPANXN1
ENSG00000185985	SLITRK2
ENSG00000235699	CXorf51B
ENSG00000224440	CXorf51A
ENSG00000284377	AL589669.1
ENSG00000227083	L29074.1
ENSG00000102081	FMR1
ENSG00000176988	FMR1NB
ENSG00000237741	AC002368.1
ENSG00000155966	AFF2
ENSG00000010404	IDS
ENSG00000241489	AC244197.3
ENSG00000238039	AC244197.2
ENSG00000241769	LINC00893
ENSG00000197620	CXorf40A
ENSG00000283697	HSFX3
ENSG00000267978	MAGEA9B
ENSG00000268738	HSFX2
ENSG00000269556	TMEM185A
ENSG00000185247	MAGEA11
ENSG00000171116	HSFX1
ENSG00000123584	MAGEA9
ENSG00000280752	LINC00850
ENSG00000230899	MAGEA8-AS1
ENSG00000156009	MAGEA8
ENSG00000197021	CXorf40B
ENSG00000283463	HSFX4
ENSG00000235703	LINC00894
ENSG00000013619	MAMLD1
ENSG00000171100	MTM1
ENSG00000063601	MTMR1
ENSG00000102181	CD99L2
ENSG00000230153	AF274573.1
ENSG00000029993	HMGB3
ENSG00000234696	GPR50-AS1
ENSG00000102195	GPR50
ENSG00000269993	KC877982.1
ENSG00000160131	VMA21
ENSG00000270052	BX546450.2
ENSG00000214915	BX546450.1
ENSG00000166049	PASD1
